name,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Grand Total,U-5,E-2C,CW-1,CW-2,Year,latitude,longitude
Lebanon,22,192,9,81,9758,206,0,0,12,7,0,0,38,0,0,2,0,0,0,520,22,0,4,29,0,50,1,0,196,0,0,0,0,0,0,133,10,300,62,212,2,59,5,18,32,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,8,0,39,0,0,0,0,12,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,21,65,8,12169,,,,,2002,33.854721,35.862285
Malaysia,107,932,5,600,19273,170,0,0,50,1655,0,96,2,0,3,4,0,0,0,1349,112,0,26,97,0,51,1,0,891,0,0,0,1,0,196,283,88,531,108,51,5,2,0,372,333,11,0,0,0,0,0,0,0,0,0,0,0,9,0,5,1,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,10,27452,,,,,2002,4.210484,101.975766
Maldives,0,31,0,0,22,5,0,0,0,42,0,0,0,0,0,0,0,0,0,4,0,0,5,11,0,4,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,,,,,2002,3.202778,73.22068
Mongolia,24,107,0,496,2794,925,0,0,7,0,0,0,0,0,0,3,0,0,0,1126,125,0,21,52,0,32,1,0,22,0,0,8,0,0,0,35,23,371,91,3,1,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,31,0,26,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6371,,,,,2002,46.862496,103.846656
Nepal,21,240,17,22,3759,86,0,0,92,543,0,1,0,0,0,0,0,0,0,1461,189,0,22,32,0,148,6,0,205,0,0,7,89,0,0,153,2,153,85,26,1,8,2,8,19,15,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,1,0,2,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,5,7708,,,,,2002,28.394857,84.124008
Oman,33,344,0,27,368,359,0,0,0,75,0,0,0,0,0,0,0,0,0,132,55,0,17,25,0,0,0,0,7,0,0,0,0,0,0,0,0,51,10,0,0,1,0,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,,,,,2002,21.512583,55.923255
Pakistan,108,619,23,113,17982,2038,0,0,27,509,1,1,29,0,23,72,0,0,0,1440,220,0,90,89,0,314,12,0,1227,0,0,0,11,0,0,1684,37,408,276,302,8,250,60,157,347,4,5,0,0,0,0,0,0,0,0,0,0,45,10,20,0,0,49,0,0,0,0,15,42,0,0,0,0,13,0,0,0,0,0,0,0,0,0,376,481,76,29613,,,,,2002,30.375321,69.345116
Palestinian Authority Travel Document,0,0,0,8,1321,14,0,0,2,0,0,0,0,0,0,0,0,0,0,58,4,0,0,0,0,10,0,0,9,0,0,0,0,0,0,17,1,163,48,5,0,4,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,31,7,1737,,,,,2002,31.952162,35.233154
Philippines,84,1696,335,8425,108284,5992,0,0,486,34313,0,29,166,0,58,76,0,0,0,838,76,0,220,41,1,513,306,0,3387,0,210,1,213,0,8,4266,152,977,277,3775,409,678,144,634,405,38,0,0,0,2,0,0,0,0,0,0,0,94,64,12,75,0,68,0,2,0,0,307,126,0,0,0,0,11,0,0,0,0,0,0,0,0,0,991,905,674,180844,,,,,2002,12.879721,121.774017
Qatar,52,181,1,0,327,0,0,0,5,0,0,1,7,0,0,0,0,0,0,140,64,0,17,26,0,2,0,0,3,0,0,0,0,0,0,4,0,25,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,,,,,2002,25.354826,51.183884
Saudi Arabia,542,2394,13,181,7190,68,0,0,24,0,0,1,395,0,0,0,0,0,0,1515,1085,0,47,96,0,33,1,0,22,0,0,0,0,0,3,17,24,113,142,0,0,1,0,45,117,44,7,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14126,,,,,2002,23.885942,45.079162
Singapore,28,1317,0,7,999,11,0,0,2,1692,0,3,6,0,2,3,0,0,0,1104,83,0,12,36,0,24,0,0,597,0,0,0,4,0,4,207,22,450,142,27,5,7,0,287,267,12,1,0,0,0,0,0,0,0,0,0,0,13,3,2,10,0,0,0,0,0,0,16,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,7423,,,,,2002,1.352083,103.819836
Sri Lanka,16,250,49,405,2143,985,0,0,82,444,0,4,3,0,0,21,0,0,0,528,68,0,53,54,0,97,55,0,344,0,0,0,0,0,12,220,14,88,50,16,3,7,0,135,60,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,2,0,0,55,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,5,3,6304,,,,,2002,7.873054,80.771797
Syria,36,31,1,18,5588,72,0,0,1,2,0,0,34,0,0,1,0,0,0,96,15,0,40,23,0,66,1,0,116,0,0,0,1,0,0,101,6,97,58,141,3,25,1,12,11,1,0,0,0,0,0,0,0,0,0,0,0,12,2,6,0,0,0,0,0,0,0,7,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,22,5,6679,,,,,2002,34.802075,38.996815
Thailand,49,699,38,362,28832,373,0,0,239,2919,0,50,14,0,61,148,0,0,0,4154,78,0,10,43,2,62,11,0,802,0,0,3,9,0,5,140,44,2808,85,706,103,89,5,103,92,23,1,0,0,1,0,0,0,0,0,0,0,16,21,2,5,0,26,0,2,0,0,134,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,16,9,43415,,,,,2002,15.870032,100.992541
Timor-Leste,0,0,0,3,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,,,,,2002,-8.874217,125.727539
United Arab Emirates,53,352,4,4,953,17,0,0,1,0,0,0,6,0,0,0,0,0,0,333,115,0,4,22,0,0,0,0,1,0,0,0,0,0,0,1,0,17,8,0,0,0,0,1,0,11,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,,,,,2002,23.424076,53.847818
Vietnam,133,318,1,2067,2653,7245,0,0,41,32,0,26,29,0,0,0,0,0,0,1523,35,0,49,85,0,84,2,0,92,0,0,0,0,0,0,54,21,740,59,3849,341,206,53,49,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,27,0,1,0,0,83,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,626,526,298,21409,,,,,2002,14.058324,108.277199
Yemen,29,289,13,71,344,36,0,0,2,1,0,1,16,0,0,0,0,0,0,115,16,0,20,31,0,12,2,0,4,0,0,0,1,0,0,10,7,69,13,2,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,50,0,1177,,,,,2002,15.552727,48.516388
Albania,15,113,4,57,4705,324,0,0,7,0,0,1,3,0,0,2,0,0,0,397,10,0,7,81,0,42,1,0,45,0,0,0,0,0,1,30,16,200,6,38,2,5,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,3,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,0,6194,,,,,2002,41.153332,20.168331
Andorra,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,,,,,2002,42.546245,1.601554
Armenia,45,36,1,235,4402,405,0,0,21,0,0,0,0,0,0,0,0,0,0,145,16,0,12,39,0,115,0,0,102,0,0,0,13,0,1,185,1,1091,61,29,1,2,0,12,23,2,0,0,0,0,0,0,0,0,0,0,0,10,2,7,79,0,46,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7144,,,,,2002,40.069099,45.038189
Austria,28,101,0,38,1196,18,0,0,1,731,0,0,1,0,33,94,0,0,0,651,13,0,13,10,0,85,2,0,295,0,0,2,190,0,12,114,272,1393,112,18,0,1,0,276,168,34,0,0,0,4,0,0,0,0,0,0,0,86,6,12,310,0,3,3,3,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6343,,,,,2002,47.516231,14.550072
Azerbaijan,35,161,4,37,696,375,0,0,6,1,0,0,2,0,0,2,0,0,0,143,16,0,18,6,0,23,2,0,30,0,0,0,0,0,0,19,2,426,13,19,5,1,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2069,,,,,2002,40.143105,47.576927
Belarus,22,17,0,619,953,3848,0,0,18,69,0,0,0,0,0,0,0,0,0,183,15,0,21,40,0,60,0,0,170,0,0,0,5,0,1,147,26,2051,59,142,43,10,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,15,2,12,42,0,51,4,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8676,,,,,2002,53.709807,27.953389
Belgium,64,185,2,162,626,44,0,0,7,362,0,3,347,0,17,140,0,0,0,483,9,0,25,30,3,100,1,0,363,0,0,0,11,0,6,171,189,794,100,34,0,1,0,372,355,52,0,0,0,830,0,6,0,6,0,0,0,45,22,15,87,0,39,1,3,0,0,7,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6128,,,,,2002,50.503887,4.469936
Bosnia and Herzegovina,2,75,1,97,4878,232,0,0,19,36,0,0,13,0,18,2,0,0,0,218,5,0,5,45,0,42,0,0,57,0,0,0,2,0,0,10,15,393,11,19,3,6,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,6248,,,,,2002,43.915886,17.679076
Bulgaria,55,270,2,634,4945,5386,0,0,20,2336,0,0,26,0,0,2,0,0,0,1491,87,0,35,63,0,107,0,0,518,0,0,0,258,0,0,300,108,4506,83,58,10,2,0,37,34,8,0,0,0,0,0,0,0,0,0,0,0,37,2,17,143,0,64,7,0,0,0,9,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28,22,17,21730,,,,,2002,42.733883,25.48583
Croatia,27,208,6,121,8455,139,0,0,23,4525,0,1,7,0,6,10,0,0,0,340,9,0,10,43,0,37,1,0,137,0,0,0,5,0,0,40,107,843,30,21,0,2,0,29,13,9,0,0,0,0,0,0,0,0,0,0,0,18,1,10,10,0,90,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,15359,,,,,2002,45.1,15.2
Cyprus,28,40,0,5,2675,415,0,0,4,19,0,0,0,0,0,0,0,0,0,707,6,0,24,10,0,7,0,0,105,0,0,0,0,0,1,16,3,440,11,0,0,0,0,4,1,13,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4557,,,,,2002,35.126413,33.429859
Czech Republic,63,554,0,188,17494,2309,0,0,32,374,0,5,158,0,0,22,0,0,0,619,21,0,56,71,0,37,9,0,194,0,0,0,221,0,6,107,169,6897,125,31,2,1,0,67,53,10,0,0,0,55,0,4,0,0,0,0,0,35,1,11,157,0,38,19,3,0,0,19,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30252,,,,,2002,49.817492,15.472962
Denmark,25,122,10,68,1667,72,0,0,4,1276,0,0,1,0,128,2,0,0,0,501,17,0,14,119,0,129,2,0,299,0,0,12,6,0,5,129,97,1526,93,23,0,0,0,391,423,30,0,0,0,131,0,1,0,0,3,0,0,52,1,13,34,0,8,1,1,0,0,23,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7468,,,,,2002,56.26392,9.501785
Estonia,20,183,2,28,3700,111,0,0,5,424,0,0,0,0,0,2,0,0,0,106,4,0,3,10,0,4,2,0,47,0,0,0,2,0,1,20,44,798,16,19,7,0,0,5,8,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,62,0,0,0,0,0,0,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5653,,,,,2002,58.595272,25.013607
Finland,33,188,6,159,456,151,0,0,1,503,0,0,3,0,112,166,0,0,0,362,15,0,10,84,1,56,5,0,164,0,0,0,78,0,41,106,199,1080,148,23,1,2,0,314,393,14,4,0,0,1,0,0,0,0,0,0,0,36,1,12,218,2,22,24,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5226,,,,,2002,61.92411,25.748151
France,287,1467,10,349,1928,117,0,0,8,5245,0,33,9,0,148,1104,0,0,0,4223,89,0,55,136,11,676,9,0,2913,0,0,0,167,0,47,987,700,10305,718,110,10,4,0,1995,2459,126,1,0,0,12,0,2,0,0,0,1,0,289,61,75,745,0,189,11,175,0,0,76,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,2,0,38105,,,,,2002,46.227638,2.213749
Georgia,43,308,0,9,2317,43,0,0,171,0,0,0,166,0,0,1,0,0,0,176,19,0,17,96,0,36,1,0,51,0,0,0,0,0,0,33,33,574,48,7,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,11,85,0,17,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4288,,,,,2002,42.315407,43.356892
Germany,221,849,6,139,9205,181,0,0,9,4904,0,152,14,0,640,2169,0,0,0,5807,87,0,63,147,2,316,9,0,2859,0,0,2,172,0,60,910,1649,22126,926,273,18,34,4,2916,2084,398,5,0,0,1294,0,28,175,140,3,0,0,361,25,64,841,6,29,7,137,0,0,108,23,0,0,0,0,18,0,0,0,0,0,0,0,0,0,14,1,2,62632,,,,,2002,51.165691,10.451526
Great Britain and Northern Ireland,153,2832,12,1343,35657,1239,0,0,75,9984,0,68,30,0,468,1876,0,0,0,5591,168,0,77,82,6,666,4,0,6842,0,0,55,1427,0,91,3372,2145,19109,681,1020,100,76,7,6744,6019,347,17,0,2,466,0,0,0,13,0,0,0,1271,711,162,2832,34,250,36,131,169,1,329,101,0,0,0,0,16,0,0,0,0,0,0,0,0,0,58,6,5,114976,,,,,2002,55.378051,-3.435973
Greece,72,209,0,28,20498,79,0,0,69,4665,0,1,199,0,4,0,0,0,0,822,21,0,36,51,3,35,0,0,327,0,0,0,5,0,0,50,163,570,73,14,1,0,0,55,43,27,1,0,1,415,0,5,0,0,0,0,0,37,2,5,47,0,205,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,28851,,,,,2002,39.074208,21.824312
Hungary,42,177,0,191,13113,580,0,0,1110,1,0,0,710,0,0,4,0,0,0,471,21,0,14,74,0,40,3,0,264,0,0,0,65,0,20,171,177,2275,255,65,8,7,0,66,60,2,0,0,0,18,0,0,0,0,0,0,0,35,0,22,197,0,31,6,8,0,0,61,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,20378,,,,,2002,47.162494,19.503304
Iceland,10,17,0,2,510,11,0,0,5,260,0,0,0,0,0,0,0,0,0,183,30,0,7,12,0,9,0,0,54,0,0,0,1,0,0,32,4,172,77,1,0,1,0,7,21,7,4,0,0,2,0,0,0,0,0,0,0,25,3,10,19,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506,,,,,2002,64.963051,-19.020835
Ireland,34,169,0,362,1048,63,0,0,3,660,0,1,3,0,8,98,0,0,0,517,6,0,14,28,2,84,1,0,813,0,0,11,121,0,26,178,152,9350,151,62,1,2,0,825,565,85,4,0,0,1,0,0,0,0,0,0,0,95,35,13,393,7,309,7,0,160,0,87,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16561,,,,,2002,53.41291,-8.24389
Italy,167,956,1,247,2964,87,0,0,6,2834,0,3,26,0,195,435,0,0,0,2555,49,0,49,108,7,277,2,0,1106,0,0,1,57,0,14,319,440,3372,287,69,0,10,3,610,471,112,1,0,1,210,0,10,3,1,0,0,0,264,59,39,217,1,78,6,91,0,0,103,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,3,2,18949,,,,,2002,41.87194,12.56738
Kazakhstan,29,333,0,915,892,1372,0,0,15,0,0,0,13,0,0,5,0,0,0,401,33,0,28,12,0,56,0,0,53,0,0,0,0,0,3,36,20,776,37,62,20,3,1,17,28,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,11,0,1,1,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5193,,,,,2002,48.019573,66.923684
Kyrgyzstan,18,298,0,218,122,462,0,0,6,0,0,0,2,0,0,0,0,0,0,118,3,0,17,21,0,48,0,0,19,0,0,0,4,0,0,9,1,317,39,48,18,9,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1808,,,,,2002,41.20438,74.766098
Latvia,2,209,2,7,3556,26,0,0,24,1092,0,0,8,0,0,0,0,0,0,199,4,0,10,28,0,15,1,0,41,0,0,0,33,0,2,22,44,1510,15,56,18,4,0,7,8,2,1,0,0,0,0,0,0,0,0,0,0,7,0,1,23,1,0,4,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6995,,,,,2002,56.879635,24.603189
Liechtenstein,0,0,0,0,25,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,4,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,,,,,2002,47.166,9.555373
Lithuania,9,197,3,33,6045,38,0,0,13,1034,0,0,1,0,0,6,0,0,0,322,18,0,3,11,0,13,1,0,99,0,0,11,63,0,0,69,22,4722,34,53,19,7,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,32,0,21,0,0,0,0,18,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,10,0,12968,,,,,2002,55.169438,23.881275
Luxembourg,6,14,0,5,64,15,0,0,0,21,0,0,1,0,0,1,0,0,0,38,0,0,4,6,0,13,1,0,16,0,0,0,2,0,0,4,4,28,2,1,0,0,0,9,4,7,0,0,0,1,0,2,0,0,0,0,0,2,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,,,,,2002,49.815273,6.129583
Macedonia,22,145,0,14,2805,1327,0,0,9,235,0,4,0,0,0,1,0,0,0,168,12,0,5,28,0,23,1,0,53,0,0,0,8,0,0,26,33,623,19,20,1,1,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,10,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,19,5659,,,,,2002,41.608635,21.745275
Malta,7,59,0,2,2408,3,0,0,4,10,0,0,0,0,1,0,0,0,0,9,1,0,2,5,0,7,0,0,11,0,0,0,0,0,0,3,1,33,9,8,0,1,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617,,,,,2002,35.937496,14.375416
Moldova,21,159,0,31,1088,36,0,0,68,1,0,0,65,0,0,2,0,0,0,127,12,0,3,1,0,43,1,0,57,0,0,0,11,0,3,49,1,568,21,80,35,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,15,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2518,,,,,2002,47.411631,28.369885
Monaco,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,,,,2002,43.750298,7.412841
Netherlands,86,210,1,482,1886,53,0,0,8,3764,0,10,8,0,32,384,0,0,0,1101,15,0,42,83,2,150,5,0,741,0,0,6,39,0,10,300,223,2697,173,126,3,5,0,917,861,195,1,0,2,167,0,5,0,2,0,0,0,110,59,16,299,5,17,7,9,0,0,41,17,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,2,15389,,,,,2002,52.132633,5.291266
Norway,45,207,4,531,1145,112,0,0,1,1436,0,0,1,0,99,275,0,0,0,768,40,0,18,25,0,92,2,0,239,0,0,1,38,0,11,106,297,1219,204,23,2,2,0,196,221,93,13,0,0,119,0,2,0,1,1,0,0,32,3,3,94,0,20,12,108,0,0,27,27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7917,,,,,2002,60.472024,8.468946
Poland,68,246,1,768,62118,4564,0,0,143,8025,1,4,9,0,2,25,0,0,0,1124,40,0,31,99,0,71,2,0,477,0,0,49,339,0,35,279,224,21717,394,254,37,9,1,270,112,6,1,0,8,215,0,3,0,7,0,0,0,39,3,8,350,1,244,13,2,0,0,110,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,216,382,0,103161,,,,,2002,51.919438,19.145136
Portugal,52,64,8,20,1311,182,0,0,6,1122,0,2,196,0,0,1,0,0,0,448,16,0,26,51,1,39,1,0,152,0,0,1,11,0,4,48,38,482,57,14,0,0,0,87,51,11,0,0,4,149,0,1,1,0,0,0,0,14,9,2,33,0,4,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,4758,,,,,2002,39.399872,-8.224454
Romania,62,461,5,1639,8746,6587,0,0,288,3892,0,34,9,0,1,5,0,0,0,787,114,0,26,181,0,58,4,0,599,0,0,0,43,0,3,452,157,5024,160,212,26,14,0,78,59,6,0,0,0,0,0,0,0,0,0,0,0,22,1,17,30,0,90,4,1,0,0,37,35,0,0,0,0,7,0,0,0,0,0,0,0,0,0,27,29,1,30033,,,,,2002,45.943161,24.96676
Russia,352,2045,2,2498,40567,7666,0,0,188,8169,0,65,20,0,0,8,0,0,0,1571,197,0,243,329,4,716,1,0,1336,0,0,0,172,0,36,1223,537,15515,726,1488,591,74,29,169,181,3,0,0,0,1,0,0,0,0,0,0,0,153,7,47,3654,0,623,72,3,0,0,53,12,0,0,0,0,15,0,0,0,0,0,0,0,0,0,13,16,0,91390,,,,,2002,61.52401,105.318756
San Marino,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,,,,2002,43.94236,12.457777
Serbia and Montenegro,15,48,0,619,11014,774,0,0,542,2,0,0,1123,0,2,1,0,0,0,988,25,0,4,45,0,36,3,0,304,0,0,0,69,0,2,165,138,1463,47,35,1,5,0,22,21,0,0,0,0,0,0,0,0,0,0,0,0,14,3,1,25,2,75,3,0,0,0,10,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,9,1,17674,,,,,2002,44.016521,21.005859
Slovakia,19,165,0,226,7039,697,0,0,78,873,0,0,17,0,1,12,0,0,0,383,9,0,10,28,0,21,4,0,142,0,0,0,129,0,5,94,84,8962,84,28,2,3,2,20,22,0,0,0,0,3,0,0,0,0,0,0,0,7,1,0,39,1,11,15,0,0,0,52,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,6,2,19314,,,,,2002,48.669026,19.699024
Slovenia,22,119,0,8,237,4,0,0,0,250,0,0,1,0,55,12,0,0,0,172,0,0,8,35,0,20,0,0,47,0,0,0,9,0,0,9,62,224,11,7,0,0,0,17,4,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358,,,,,2002,46.151241,14.995463
Spain,75,537,5,532,2829,243,0,0,4,1404,0,11,879,0,38,109,0,0,0,2569,57,0,12,61,3,358,1,0,1115,0,0,0,41,0,5,278,392,4338,452,49,0,3,0,499,470,79,0,0,0,158,0,5,0,2,0,0,0,131,16,18,438,1,257,14,24,0,0,90,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18619,,,,,2002,40.463667,-3.74922
Sweden,28,620,8,319,1800,416,0,0,2,1374,0,1,4,0,57,376,0,0,0,1710,30,0,14,94,0,147,11,0,661,0,0,2,79,0,8,244,263,2356,229,73,1,6,2,578,546,78,2,0,0,1,0,0,0,0,0,0,0,95,23,10,289,2,69,33,1,0,0,21,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,12701,,,,,2002,60.128161,18.643501
Switzerland,70,472,2,248,2641,176,0,0,1,3707,0,4,1,0,50,260,0,0,0,2884,74,0,11,4,4,81,0,0,531,0,0,1,48,0,7,191,412,1407,251,22,0,3,0,452,357,124,0,0,0,2,0,0,0,0,0,0,0,62,3,13,43,0,15,3,5,0,0,47,18,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14714,,,,,2002,46.818188,8.227512
Tajikistan,4,75,0,58,113,55,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3,0,0,3,0,15,0,0,1,0,0,0,0,0,0,1,0,110,11,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,,,,,2002,38.861034,71.276093
